Volume,Open,Close,High,Low
400,1.0558,1.05618,1.05624,1.05561
200,1.05616,1.05543,1.05616,1.0554
356,1.05553,1.05564,1.05612,1.0554
288,1.05564,1.05523,1.05564,1.0551
719,1.0552,1.05578,1.05633,1.05515
1020,1.0558,1.0558,1.05661,1.05498
984,1.05584,1.05464,1.05608,1.0543
957,1.05461,1.05454,1.05502,1.05364
806,1.05457,1.05506,1.05506,1.05408
599,1.05504,1.05499,1.05526,1.05459
805,1.05503,1.05625,1.05668,1.055
1361,1.05622,1.05583,1.05632,1.05532
1486,1.0558,1.0558,1.05598,1.05462
1321,1.05578,1.05354,1.05586,1.05304
1240,1.05357,1.05222,1.05362,1.05158
1150,1.05225,1.05192,1.05251,1.05134
1627,1.0519,1.05017,1.05207,1.05001
2051,1.0502,1.05132,1.05155,1.04942
2678,1.0513,1.04808,1.05158,1.0478
3544,1.04809,1.04742,1.0482,1.04539
10428,1.04744,1.04994,1.05412,1.04584
10320,1.04996,1.05586,1.05728,1.04726
11044,1.05588,1.06038,1.0623,1.05546
4473,1.06041,1.05766,1.06142,1.05708
1800,1.05768,1.05731,1.05778,1.05644
455,1.05734,1.05824,1.05848,1.05734
408,1.05818,1.05836,1.05842,1.05782
569,1.05836,1.05943,1.05992,1.0578
1584,1.05946,1.05821,1.05974,1.05716
1472,1.05818,1.0584,1.05931,1.05761
1969,1.05838,1.05987,1.06099,1.0583
1451,1.0599,1.06113,1.0614,1.0594
1002,1.0611,1.06,1.06126,1.05988
781,1.06002,1.06113,1.06116,1.0595
1812,1.06115,1.06378,1.06388,1.0605
2787,1.06375,1.06295,1.0643,1.06275
3829,1.06298,1.06434,1.06646,1.06276
3052,1.06432,1.06412,1.06452,1.06276
2180,1.0641,1.06381,1.06429,1.06198
1627,1.06383,1.06524,1.06524,1.06375
2702,1.06522,1.06744,1.06848,1.06515
3617,1.06747,1.06526,1.06826,1.06436
3688,1.06528,1.06586,1.0659,1.06326
4544,1.06584,1.06526,1.06757,1.06376
3586,1.06529,1.06658,1.06678,1.0648
1660,1.06655,1.06485,1.06688,1.06456
2123,1.06488,1.06418,1.06519,1.06306
1686,1.06416,1.06266,1.06428,1.06215
1515,1.06264,1.06232,1.06293,1.06108
264,1.06234,1.06126,1.0625,1.06118
628,1.06146,1.06124,1.06196,1.0612
469,1.06128,1.0616,1.06166,1.06068
952,1.06156,1.06095,1.06183,1.0605
1004,1.06098,1.06164,1.06198,1.06084
902,1.06162,1.06054,1.0619,1.06038
639,1.06057,1.0608,1.06122,1.06042
382,1.06077,1.06175,1.06175,1.06056
363,1.06173,1.0617,1.06173,1.06126
873,1.06173,1.06296,1.06302,1.06144
1951,1.06294,1.06312,1.0641,1.06241
2217,1.06314,1.06342,1.06437,1.0625
1304,1.06344,1.06442,1.0651,1.06277
1222,1.06444,1.06442,1.06544,1.06408
1135,1.0644,1.06458,1.06576,1.06438
1201,1.0646,1.06451,1.06587,1.06432
5661,1.06454,1.06454,1.06739,1.06206
5462,1.06457,1.0605,1.06525,1.06014
4631,1.06054,1.06229,1.06296,1.05962
2497,1.06231,1.06243,1.06312,1.06121
1764,1.06246,1.06374,1.06417,1.06224
1155,1.06376,1.06322,1.06442,1.06296
1093,1.06319,1.06438,1.0653,1.06302
1026,1.0644,1.0637,1.06476,1.06357
425,1.06368,1.06434,1.06451,1.06368
675,1.06051,1.0623,1.06317,1.06051
696,1.0623,1.06276,1.06356,1.06218
756,1.06275,1.0629,1.06347,1.06245
858,1.06292,1.06208,1.06306,1.06162
1257,1.06206,1.06216,1.06274,1.06108
771,1.0622,1.06108,1.06231,1.06064
688,1.06106,1.06151,1.06154,1.0605
1015,1.06148,1.06208,1.06226,1.06114
1074,1.06205,1.06182,1.06298,1.06174
1623,1.06179,1.06137,1.06226,1.06045
2884,1.06136,1.05831,1.06174,1.05796
2130,1.05834,1.059,1.05978,1.05806
1272,1.05896,1.05862,1.05958,1.05833
1362,1.05859,1.0594,1.05982,1.05794
1106,1.05936,1.05909,1.05986,1.05856
890,1.05912,1.05928,1.06011,1.059
1125,1.05931,1.06065,1.06088,1.05898
1215,1.06067,1.0606,1.06082,1.05928
1053,1.06062,1.06003,1.06083,1.0591
362,1.06,1.06043,1.06086,1.05976
286,1.06046,1.05995,1.06052,1.05973
414,1.05992,1.06026,1.06052,1.05983
951,1.06028,1.05991,1.06048,1.05966
1243,1.05988,1.06006,1.06049,1.05982
229,1.06006,1.05988,1.06044,1.05978
352,1.05984,1.06026,1.06076,1.05982
1016,1.06026,1.06062,1.06188,1.06024
792,1.06064,1.06028,1.06108,1.0601
895,1.06025,1.06204,1.06214,1.06025
730,1.062,1.06246,1.06304,1.06147
1155,1.06242,1.06402,1.06434,1.0623
1241,1.064,1.06574,1.06594,1.064
1625,1.06572,1.0655,1.06657,1.0647
2127,1.06547,1.06546,1.06585,1.06402
2868,1.06549,1.0663,1.06716,1.06544
2619,1.06633,1.06786,1.06819,1.0655
2151,1.06785,1.06798,1.0682,1.06578
4766,1.068,1.07096,1.07194,1.06796
